right_arm_angle,left_arm_angle,left_waist_angle,right_waist_angle,step_length,step_speed,bent_angle,height
44.13,0.64,174.0,140.93,222.32,0.0,176.58,475.95
41.97,2.79,179.63,139.96,206.2,0.0,175.65,470.79
35.91,4.56,175.82,140.13,190.38,427.07,174.98,463.98
28.88,4.51,172.79,142.64,172.72,0.0,174.81,461.81
20.69,3.64,172.25,148.64,138.57,0.0,175.75,463.59
14.95,4.86,172.38,153.71,112.61,0.0,177.0,467.27
7.14,17.86,169.13,158.24,73.41,0.0,177.35,470.74
1.03,21.86,166.29,166.85,10.2,0.0,176.36,478.08
4.46,31.32,168.81,168.19,25.5,0.0,177.02,485.8
9.91,39.7,172.07,173.7,69.26,0.0,178.01,493.98
13.92,45.45,171.35,176.91,123.33,0.0,179.02,502.24
18.43,49.97,170.03,170.08,162.52,0.0,179.67,503.29
22.23,53.3,167.38,164.47,200.72,325.17,180.0,499.68
27.09,54.9,163.25,163.76,220.51,0.0,179.02,495.05
30.61,56.41,161.62,164.6,228.43,0.0,179.02,492.86
32.1,56.41,159.61,168.28,225.18,0.0,178.71,489.2
32.3,53.19,155.12,171.95,223.03,0.0,177.74,488.79
31.52,51.22,153.17,176.23,215.38,0.0,176.8,484.98
29.38,45.09,148.84,179.09,209.31,0.0,175.82,480.09
20.48,36.77,145.63,179.56,196.65,0.0,177.41,475.08
13.82,26.5,154.15,178.04,122.8,0.0,176.05,476.11
7.24,17.81,146.39,177.66,139.82,0.0,175.78,475.19
1.63,11.94,148.0,174.25,125.61,443.56,176.16,477.74
6.08,0.14,155.14,173.76,89.4,0.0,176.21,481.3
12.51,1.14,160.43,170.49,72.73,0.0,175.91,481.74
23.64,1.43,167.26,172.15,43.68,0.0,176.82,493.37
29.76,1.83,171.15,170.4,16.55,0.0,177.47,502.9
35.06,4.14,170.73,164.58,20.12,0.0,176.86,506.43
41.74,0.35,163.71,178.39,98.41,0.0,176.99,500.5
48.75,7.35,161.24,162.2,174.35,0.0,178.22,496.14
54.06,14.36,170.52,178.38,52.01,0.0,178.82,487.19
57.05,18.81,171.53,176.62,42.05,0.0,178.81,484.74
60.07,21.01,159.18,154.96,220.0,355.14,179.1,487.09
57.84,22.0,162.51,148.0,238.01,0.0,177.6,489.26
55.16,21.54,170.43,144.94,225.27,0.0,176.15,488.93
51.49,18.23,172.68,140.01,225.08,0.0,175.24,484.23
45.8,12.64,177.69,145.69,177.02,0.0,175.44,483.82
41.23,0.21,177.47,144.58,177.72,0.0,177.51,469.13
32.04,4.5,177.71,149.04,136.57,0.0,177.18,466.08
24.01,0.56,175.07,152.84,107.42,0.0,176.25,473.43
15.36,0.35,170.26,158.65,59.41,0.0,175.6,473.23
11.55,1.74,166.42,163.31,31.3,0.0,175.63,465.21
4.44,18.26,169.18,164.49,8.49,430.07,175.96,486.48
1.36,28.48,171.15,171.29,45.1,0.0,176.62,496.11
8.17,35.51,170.53,178.07,96.51,0.0,177.23,507.8
12.41,40.04,168.69,174.37,146.66,0.0,177.27,511.17
15.97,43.61,164.37,167.62,197.23,0.0,177.02,510.2
18.73,48.01,163.3,162.59,227.97,0.0,177.9,507.07
21.35,50.14,161.86,161.16,242.6,0.0,178.18,503.22
22.9,50.36,158.67,164.78,247.98,0.0,177.58,505.19
22.98,48.96,154.12,167.23,250.15,0.0,177.24,503.47
21.43,45.79,148.34,171.52,248.94,0.0,175.74,502.48
18.63,39.51,141.26,174.62,242.6,425.57,174.29,496.33
